Year,white,Black,American_indian,Asian,Hispanic
1900,0.874128918937456,0.115583633503387,0.003103463227671,0.001494044429521,0.005689939901965
1910,0.882053712471728,0.106061510792434,0.002867258843326,0.001584949866975,0.007432568025536
1920,0.886782414939594,0.097853101037986,0.002286019209587,0.00170337829697,0.011375086515863
1930,0.473208164636651,0.051021418843843,0.001426218367691,0.001136033515164,0.473208164636651
1940,0.884689828295671,0.096282243598922,0.002499338511865,0.001907741062097,0.014620848531445
1950,0.877469808898609,0.09781349826622,0.002233047120604,0.002087539140587,0.02039610657398
1960,0.859247504851276,0.102092783945244,0.002984417570626,0.005303424640382,0.030371868992471
1970,0.84226395848901,0.106580817911486,0.003759799151795,0.007217820408622,0.040177604039087
1980,0.826543903539344,0.116255841274608,0.006232483152835,0.015359354474112,0.035608417559101
1990,0.797268376780903,0.119722609505284,0.007822455071172,0.029040887509043,0.046145671133598
2000,0.765760893038675,0.125507462204827,0.008966162228634,0.038537195769242,0.061228286758622
2010,0.727322249414304,0.1266550943161,0.0095399600234,0.049499046426297,0.0869836498199
